Wall time,Step,Value
1745559485.7072418,1,2275670.5
1745560257.0646315,1000,123745.5859375
1745562451.890633,2000,123429.5078125
1745563219.6675897,3000,123673.609375
1745563986.4596088,4000,126148.2109375
1745564750.865898,5000,121234.1328125
1745565517.5953014,6000,128581.84375
1745566278.461229,7000,117683.3828125
1745567038.4379642,8000,125209.625
1745567792.6508048,9000,130869.5234375
1745568548.4840314,10000,122175.6953125
1745569311.0742614,11000,126021.5078125
1745570068.1289015,12000,122590.078125
1745570825.8381186,13000,121170.609375
1745571585.392037,14000,122195.765625
1745572341.609557,15000,122843.65625
1745573098.8081303,16000,126271.53125
1745573856.5974886,17000,123512.6015625
1745574615.4804103,18000,122511.203125
1745575371.8072119,19000,121115.2734375
1745576129.8510582,20000,124368.9921875
1745576884.6885865,21000,119376.546875
1745577640.336011,22000,122623.171875
1745578395.109386,23000,123062.5703125
1745579146.262007,24000,118848.7734375
1745579897.0029864,25000,117357.703125
1745580648.3946846,26000,120485.7109375
1745581397.9295332,27000,119366.3203125
1745582151.133864,28000,122817.0
1745582902.840376,29000,121219.4921875
1745583653.2199686,30000,117618.2890625
1745584402.540981,31000,118055.9296875
1745585150.591055,32000,120076.8671875
1745585904.4540167,33000,113252.9765625
1745586655.0153334,34000,112557.1171875
1745587405.2556858,35000,116558.9296875
1745588153.953965,36000,111480.3046875
1745588903.2150562,37000,111661.359375
1745589651.9930515,38000,118938.4453125
1745590400.6229553,39000,112422.15625
1745591149.5421057,40000,115690.4609375
1745591897.6838584,41000,114592.7890625
1745592646.400119,42000,113890.53125
1745593394.1925666,43000,112090.859375
1745594141.5230942,44000,119694.6484375
1745594889.9315543,45000,121186.7578125
1745595641.2262177,46000,114971.7578125
1745596392.5195677,47000,119028.4453125
1745597143.398519,48000,111318.59375
1745597896.1621616,49000,110291.2734375
1745598645.0669062,50000,112459.96875
1745599393.9497566,51000,108734.84375
1745600140.0538485,52000,110724.4453125
1745600887.5022502,53000,113338.859375
1745601635.2708151,54000,110221.8359375
1745602382.712548,55000,107323.1875
1745603130.0669377,56000,109901.453125
1745603877.7222145,57000,115116.1171875
1745604625.4180021,58000,109508.46875
1745605718.6623409,59000,107191.0859375
1745606479.745065,60000,108178.8671875
1745607245.9924471,61000,116046.328125
1745608004.6670039,62000,110687.078125
1745608760.0457304,63000,109596.953125
1745609516.317035,64000,112923.1328125
