Wall time,Step,Value
1745559485.707188,1,10.672200202941895
1745560257.0645692,1000,4.376500129699707
1745562451.8905704,2000,3.4962000846862793
1745563219.6675441,3000,3.2390999794006348
1745563986.4595428,4000,3.0739998817443848
1745564750.8658257,5000,2.9498000144958496
1745565517.5952518,6000,2.848099946975708
1745566278.4611778,7000,2.767899990081787
1745567038.4379206,8000,2.6972999572753906
1745567792.6507576,9000,2.638400077819824
1745568548.4839888,10000,2.584199905395508
1745569311.0742178,11000,2.53629994392395
1745570068.1288486,12000,2.4974000453948975
1745570825.8380744,13000,2.460599899291992
1745571585.391974,14000,2.4242000579833984
1745572341.6095052,15000,2.3945000171661377
1745573098.8080847,16000,2.3684000968933105
1745573856.5974445,17000,2.3371999263763428
1745574615.480367,18000,2.315700054168701
1745575371.807168,19000,2.294300079345703
1745576129.8510149,20000,2.2751998901367188
1745576884.6885433,21000,2.2535998821258545
1745577640.3359654,22000,2.2355000972747803
1745578395.1093426,23000,2.2202999591827393
1745579146.2619627,24000,2.2032999992370605
1745579897.0029438,25000,2.1828999519348145
1745580648.3946428,26000,2.1737000942230225
1745581397.9294865,27000,2.1579999923706055
1745582151.133813,28000,2.14490008354187
1745582902.8403351,29000,2.1333000659942627
1745583653.219927,30000,2.1224000453948975
1745584402.540937,31000,2.111999988555908
1745585150.5910113,32000,2.1012001037597656
1745585904.4539716,33000,2.0924999713897705
1745586655.0152895,34000,2.080399990081787
1745587405.2556417,35000,2.0715999603271484
1745588153.9539206,36000,2.0627999305725098
1745588903.2150111,37000,2.05430006980896
1745589651.9930058,38000,2.044600009918213
1745590400.6229088,39000,2.038800001144409
1745591149.5420375,40000,2.033900022506714
1745591897.6838098,41000,2.0209999084472656
1745592646.400077,42000,2.0160999298095703
1745593394.192519,43000,2.010200023651123
1745594141.5230513,44000,2.0032999515533447
1745594889.931507,45000,1.9957000017166138
1745595641.2261748,46000,1.986899971961975
1745596392.5195222,47000,1.9835000038146973
1745597143.3984706,48000,1.9766000509262085
1745597896.1621144,49000,1.968000054359436
1745598645.066859,50000,1.9634000062942505
1745599393.9497137,51000,1.9601000547409058
1745600140.0537992,52000,1.9537999629974365
1745600887.5022035,53000,1.9443999528884888
1745601635.2707734,54000,1.942199945449829
1745602382.7125044,55000,1.9357999563217163
1745603130.066894,56000,1.929800033569336
1745603877.7221692,57000,1.9255000352859497
1745604625.4179568,58000,1.9211000204086304
1745605718.6622891,59000,1.9170000553131104
1745606479.7450213,60000,1.913599967956543
1745607245.9924004,61000,1.9081000089645386
1745608004.6669526,62000,1.9033000469207764
1745608760.0456836,63000,1.9002000093460083
1745609516.3169904,64000,1.893399953842163
1745610270.854737,65000,1.8906999826431274
1745611023.120027,66000,1.885599970817566
1745611774.8249383,67000,1.8832999467849731
1745612527.9187963,68000,1.8774000406265259
1745613279.8129654,69000,1.875
1745614034.3691177,70000,1.8731000423431396
1745614791.3268445,71000,1.8655999898910522
1745615546.7240279,72000,1.861199975013733
1745616298.806579,73000,1.8581000566482544
1745617051.2333515,74000,1.853700041770935
1745617804.609565,75000,1.8526999950408936
1745618552.2724364,76000,1.8486000299453735
1745619305.160137,77000,1.84660005569458
1745620058.7632236,78000,1.8389999866485596
1745620809.5164058,79000,1.8361999988555908
1745621561.115751,80000,1.8346999883651733
1745622312.990694,81000,1.8322999477386475
1745623062.2666073,82000,1.8291000127792358
1745623817.1726182,83000,1.8236000537872314
1745624564.8237765,84000,1.823199987411499
1745625315.803769,85000,1.820199966430664
1745626074.0589132,86000,1.8149000406265259
1745626826.476045,87000,1.815600037574768
1745627576.937219,88000,1.815600037574768
1745628326.8342564,89000,1.8061000108718872
1745629074.0164125,90000,1.805799961090088
1745629823.691049,91000,1.8030999898910522
1745630586.695192,92000,1.8006999492645264
1745631340.6790948,93000,1.7978999614715576
1745632097.243356,94000,1.7954000234603882
1745632849.422454,95000,1.7919000387191772
1745633601.1651797,96000,1.7935999631881714
1745634363.1887105,97000,1.7860000133514404
1745635116.148431,98000,1.7836999893188477
1745635873.9549406,99000,1.782099962234497
1745636627.4709008,100000,1.777500033378601
1745637379.487395,101000,1.7782000303268433
1745638126.249575,102000,1.774899959564209
1745638875.0821338,103000,1.7755999565124512
1745639626.5503993,104000,1.7719999551773071
1745640383.9253008,105000,1.767300009727478
1745641129.6464245,106000,1.7648999691009521
1745641875.4013782,107000,1.7615000009536743
1745642623.4407804,108000,1.7578999996185303
1745643362.832556,109000,1.7632999420166016
1745644107.0730336,110000,1.7589000463485718
