Wall time,Step,Value
1746397511.0998948,267000,137324.03125
1746398250.4789174,268000,140044.703125
1746398987.3275764,269000,136173.640625
1746399724.6845899,270000,138172.984375
1746400461.4233406,271000,133521.84375
1746401198.6359248,272000,138571.203125
1746401935.7732031,273000,130744.0625
1746402674.635392,274000,132999.4375
1746403413.502067,275000,138174.796875
1746404151.4904084,276000,135775.65625
1746404890.0728803,277000,135291.78125
1746405638.0700986,278000,137701.15625
1746406376.6074486,279000,140856.9375
1746407113.4153905,280000,138133.296875
1746407853.0189369,281000,133012.703125
1746408592.1417,282000,130877.1875
1746409333.4298797,283000,144674.734375
1746410071.1287875,284000,146054.796875
1746410812.497529,285000,146876.15625
1746411550.5230513,286000,135899.578125
1746412288.1937714,287000,150632.9375
1746413026.2663896,288000,138550.890625
1746413761.3305564,289000,140533.765625
1746414498.4614148,290000,132037.640625
1746415236.6319277,291000,146652.125
1746415971.9241457,292000,136853.21875
1746416711.3004503,293000,137291.5625
1746417448.3551936,294000,136107.125
1746418185.8739064,295000,127126.3203125
1746418923.244451,296000,134325.671875
1746419659.031362,297000,128775.7265625
1746420396.0676844,298000,141033.984375
1746421136.4612129,299000,143049.640625
1746422121.600265,300000,138247.21875
1746422893.3961163,301000,138220.6875
1746423664.49488,302000,143851.734375
1746424431.1809468,303000,138738.0
1746425199.254242,304000,141748.65625
1746425969.578284,305000,147477.96875
1746426736.5660787,306000,136527.4375
1746427508.7625952,307000,137191.46875
1746428274.4864862,308000,152125.8125
1746429046.6462955,309000,138061.78125
1746429817.0657604,310000,142508.75
1746430585.7311473,311000,141744.46875
1746431354.6627753,312000,146744.78125
1746432125.8083599,313000,143256.078125
1746432894.0722466,314000,138757.40625
1746433659.9416032,315000,131875.375
1746434425.2958176,316000,141477.578125
1746435188.6833677,317000,147269.25
1746435952.2922947,318000,139958.34375
1746436718.725011,319000,139231.140625
1746437479.8370268,320000,137375.421875
1746438243.6756258,321000,142608.140625
1746439008.4077036,322000,154480.484375
1746439773.565666,323000,140354.53125
1746440533.1255124,324000,135822.953125
1746441300.8796382,325000,139011.28125
1746442062.021357,326000,129306.359375
1746442826.7291808,327000,132389.171875
1746443594.033442,328000,144787.265625
1746444352.0139225,329000,143945.234375
1746445112.7842097,330000,137861.75
1746445870.2030325,331000,135997.234375
1746446627.9424448,332000,142852.96875
1746447384.616565,333000,144295.40625
1746448142.3725834,334000,149906.984375
1746448893.1724055,335000,139958.15625
1746449645.7615001,336000,137083.921875
1746450395.5677662,337000,138013.296875
1746451147.7954173,338000,134748.90625
1746451897.8781784,339000,149064.265625
1746452644.2354698,340000,140084.90625
1746453395.034849,341000,140872.46875
1746454146.7342215,342000,139309.5
1746454894.2271802,343000,130482.1015625
1746455644.1228309,344000,142542.484375
1746456395.155384,345000,143922.046875
1746457139.855754,346000,135500.6875
1746457885.8938873,347000,135915.953125
1746458632.3788729,348000,139813.90625
1746459379.7906775,349000,134598.9375
1746460137.897442,350000,144701.390625
1746460892.9756403,351000,143064.46875
1746461637.0984201,352000,149554.765625
1746462376.9590309,353000,140652.875
1746463114.769743,354000,137591.84375
1746463852.7179577,355000,142408.0
1746465386.7835176,356000,138945.71875
1746466171.1612449,357000,141257.078125
1746466948.8585303,358000,136050.796875
1746467703.947712,359000,142499.0625
1746468453.6389325,360000,146967.84375
1746469203.8792331,361000,145827.1875
1746469957.64687,362000,142071.203125
1746470707.8473341,363000,131311.0625
1746471456.2265446,364000,147846.015625
1746472203.0296276,365000,136084.171875
1746472952.869766,366000,142350.828125
1746473698.9627485,367000,145629.78125
1746474446.7776706,368000,147677.78125
1746475196.5598001,369000,141962.65625
1746475942.253163,370000,132412.09375
1746476690.9287796,371000,138181.765625
1746477451.336097,372000,139001.40625
1746478202.8125362,373000,131670.25
1746478961.1999834,374000,146693.734375
1746479723.7481196,375000,131799.53125
1746480469.920448,376000,151186.28125
1746481212.5972002,377000,144148.3125
1746481957.3768842,378000,152301.859375
1746482702.7528243,379000,142764.375
1746483447.863556,380000,139352.265625
1746484190.083071,381000,143760.21875
1746484932.7306683,382000,141291.71875
1746485676.5080888,383000,140178.71875
1746486427.206172,384000,154475.328125
1746487167.217022,385000,134401.609375
1746487909.8055875,386000,142711.921875
1746488666.1751535,387000,135231.46875
1746489416.7480257,388000,150257.234375
1746490165.684695,389000,147171.96875
1746490921.6045198,390000,150619.890625
1746491674.8547566,391000,149277.953125
1746492421.6360447,392000,138698.5
1746493166.6223342,393000,141090.015625
1746493913.570424,394000,132708.40625
1746494653.414682,395000,141546.75
1746495393.0763147,396000,140534.40625
1746496131.3633728,397000,143178.0625
1746496874.971171,398000,141341.515625
1746497609.964762,399000,146598.34375
1746498350.6723418,400000,154320.484375
